name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
DNAAF4	1884	0	30	70	40	45	25	65	33	151	60	70	96	76	70	71	79	521	501	624	68	87	178	113
DNAAF5	3549	9	566	653	425	441	675	1316	390	2762	974	1088	990	569	2341	330	1220	10	33	31	95	337	582	703
DNAH10	14097	0	57	51	1	62	27	30	0	0	19	23	18	11	12	10	7	11	10	12	35	23	59	83
DNAH1	13961	4	56	0	55	111	118	97	34	229	133	39	138	45	59	33	37	2	4	1	11	30	1	19
DNAH12	14129	0	0	79	18	65	15	88	98	0	38	62	100	145	82	57	101	101	158	120	92	118	109	117
DNAH14	13757	0	0	0	1	0	6	0	4	0	13	5	24	0	8	1	1	178	91	75	0	2	0	0
DNAH17	14901	1	1886	1853	1578	2453	2267	2537	2648	1666	2555	2379	1807	2501	2163	2217	2347	178	140	144	1184	962	527	911
DNAH2	13915	376	266	244	83	129	80	169	179	452	233	203	95	129	171	148	141	7	20	34	251	208	792	618
DNAH3	2189	0	0	0	0	0	0	0	0	0	0	0	1	2	9	0	6	2	5	0	0	1	0	0
DNAH5	17088	0	0	0	204	36	15	0	12	84	20	0	13	84	17	0	19	9	14	20	0	26	0	16
DNAH6	13453	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	9	12	14	13	3	3	0	0
DNAH7	15065	0	0	2	2	0	0	0	0	0	1	11	4	0	8	12	4	41	40	16	11	5	30	0
DNAH8	14387	0	17	34	22	0	23	49	46	0	45	26	38	33	20	31	27	46	44	19	82	106	9	62
DNAH9	15652	0	76	97	147	26	95	56	89	136	72	36	56	283	143	185	134	15	27	21	81	61	26	4
DNAI1	2581	3	546	743	823	719	546	368	717	349	686	945	562	420	402	899	561	31	37	39	1008	857	385	177
DNAI2	3167	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	1	0	1	0	0	0	0	0
DNAJA1	1449	1408	2418	4480	2744	1548	1193	1148	865	365	1712	1322	2187	1604	1884	1633	1482	14677	12185	12890	889	583	1572	863
DNAJA2	1728	18	513	686	456	608	480	356	361	368	561	685	678	811	1664	908	1227	946	1081	888	370	192	471	220
DNAJA3	2672	3046	3884	2964	2904	1765	5008	4727	4462	4133	6316	5995	4612	4530	10244	3767	7825	82	97	88	1240	1421	1757	2620
DNAJA4	3504	104	242	54	36	204	67	117	306	286	288	520	621	888	986	517	534	279	418	315	106	97	50	186
DNAJB11	1983	8	398	619	315	281	205	327	16	218	62	261	218	137	216	143	136	639	762	656	60	65	232	14
DNAJB12	1181	533	501	708	401	691	502	375	657	565	1189	1965	2851	1794	3293	1897	2289	431	391	356	719	690	602	221
DNAJB1	2409	795	412	436	491	865	747	765	442	1236	692	769	829	1200	1227	992	1871	88	220	142	2034	2374	1513	1413
DNAJB13	1154	0	0	66	129	17	0	17	0	0	22	25	9	6	14	23	34	17	21	12	40	38	47	18
DNAJB14	6222	0	5	32	7	10	17	13	0	0	3	11	19	8	18	9	3	381	374	376	16	21	4	50
DNAJB2	3142	250	56	117	127	74	32	74	1	4	60	101	23	50	43	24	62	10	3	11	8	21	45	36
DNAJB3	1096	0	0	0	2	0	0	0	0	124	0	0	19	0	1	0	1	0	0	0	0	0	0	0
DNAJB4	4537	373	86	114	178	19	53	81	56	0	73	19	71	21	46	40	33	2649	2002	1673	10	12	74	72
DNAJB5	3438	0	339	76	50	69	97	20	143	224	122	113	266	203	354	336	343	277	318	217	106	173	4	226
DNAJB6	8907	1845	1005	1741	1298	1332	796	1567	1920	2105	1391	1620	1468	1826	1874	1355	1646	1104	1215	1281	567	808	838	757
DNAJB7	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJB8	986	0	0	9	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	3	6	3	5	1
DNAJB9	2650	0	21	1	25	0	0	7	0	0	0	0	1	6	1	0	0	17	36	14	0	0	2	3
DNAJC10	2885	19	234	218	76	182	238	184	100	57	100	168	113	210	308	119	137	604	779	603	196	140	445	197
DNAJC11	3044	0	494	861	570	515	442	404	670	1820	2323	1873	2631	1860	4927	1769	2783	200	248	125	219	240	185	340
